SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-12-2018,Single Family Residential,10 Elinor Rd,Newton,MA,02461,843000,4,2.0,Newton Highlands,1228,9831,1947,133,686,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/10-Elinor-Rd-02461/home/11478478,MLS PIN,72308089,N,Y,42.3150631,-71.2014656
PAST SALE,November-20-2015,Single Family Residential,73 Wallace St,Newton,MA,02461,802000,3,2.5,Newton,1916,13792,1930,1068,419,,Sold,,,http://www.redfin.com/MA/Newton/73-Wallace-St-02461/home/11489730,MLS PIN,71916307,N,Y,42.3045168,-71.2086012
PAST SALE,,Townhouse,40 Miller Rd #2,Newton,MA,02459,860000,3,3.0,,1922,6227,1930,,447,,,,,http://www.redfin.com/MA/Newton/40-Miller-Rd-02459/unit-2/home/21685042,,,N,Y,42.3215769,-71.2009475
PAST SALE,June-20-2018,Single Family Residential,290 Winchester St,Newton,MA,02461,825000,3,2.0,Newton Highlands,1973,13840,1952,125,418,,Sold,,,http://www.redfin.com/MA/Newton-Highlands/290-Winchester-St-02461/home/11488931,MLS PIN,72327411,N,Y,42.3103465,-71.2079051
PAST SALE,January-8-2018,Single Family Residential,217 CALVARY St,Waltham,MA,02453,560000,4,2.5,Waltham,2100,8748,1870,288,267,,Sold,,,http://www.redfin.com/MA/Waltham/217-Calvary-St-02453/home/11818599,MLS PIN,72225503,N,Y,42.3669549,-71.2212246
PAST SALE,,Single Family Residential,68 Mosman St,Newton,MA,02465,900000,3,2.5,,1348,10363,1976,,668,,,,,http://www.redfin.com/MA/Newton/68-Mosman-St-02465/home/11432746,,,N,Y,42.3627594,-71.2196931
PAST SALE,July-10-2017,Single Family Residential,11 Dana Rd,Newton,MA,02465,930000,3,3.0,Newton,2328,5000,1940,470,399,,Sold,,,http://www.redfin.com/MA/West-Newton/11-Dana-Rd-02465/home/11435337,MLS PIN,72124921,N,Y,42.3621321,-71.2298101
PAST SALE,June-21-2018,Townhouse,243 Brown St #1,Waltham,MA,02453,700000,3,3.5,Waltham,2000,,2018,124,350,150,Sold,,,http://www.redfin.com/MA/Waltham/243-Brown-St-02453/unit-1/home/145295032,MLS PIN,72305698,N,Y,42.3637644,-71.2320493
PAST SALE,June-21-2018,Townhouse,243 Brown St #2,Waltham,MA,02453,700000,3,3.5,Waltham,2000,,2018,124,350,150,Sold,,,http://www.redfin.com/MA/Waltham/243-Brown-St-02453/unit-2/home/145295048,MLS PIN,72305700,N,Y,42.3637644,-71.2320493
PAST SALE,May-30-2018,Single Family Residential,14 Dana Rd,Newton,MA,02465,899900,4,3.0,West Newton,2052,4818,1940,146,439,,Sold,,,http://www.redfin.com/MA/West-Newton/14-Dana-Rd-02465/home/11435414,MLS PIN,72296417,N,Y,42.3618293,-71.2299958
PAST SALE,June-14-2018,Single Family Residential,77 Fordham Rd,Newton,MA,02465,775000,4,2.0,West Newton,1902,8160,1930,131,407,,Sold,,,http://www.redfin.com/MA/West-Newton/77-Fordham-Rd-02465/home/11433891,MLS PIN,72314748,N,Y,42.3601591,-71.2260511
PAST SALE,July-3-2017,Single Family Residential,57 Cherry St,Newton,MA,02465,777000,3,2.0,Newton,1610,7447,1946,477,483,,Sold,,,http://www.redfin.com/MA/West-Newton/57-Cherry-St-02465/home/11435271,MLS PIN,72162344,N,Y,42.3622102,-71.2269793
PAST SALE,July-20-2018,Single Family Residential,14 Driftwood Dr,Newton,MA,02465,730000,4,2.0,Newton,2352,10800,1967,95,310,,Sold,,,http://www.redfin.com/MA/West-Newton/14-Driftwood-Dr-02465/home/11433017,MLS PIN,72218757,N,Y,42.3643377,-71.223313
PAST SALE,July-20-2018,Townhouse,61 Parmenter Rd #1,Waltham,MA,02453,660000,3,2.5,Waltham,1730,4000,2013,95,382,125,Sold,,,http://www.redfin.com/MA/Waltham/61-Parmenter-Rd-02453/unit-1/home/49741155,MLS PIN,72317919,N,Y,42.3640391,-71.2306807
PAST SALE,September-11-2018,Townhouse,247 Brown St #1,Waltham,MA,02453,691000,3,2.5,Waltham,1904,,2008,42,363,100,Sold,,,http://www.redfin.com/MA/Waltham/247-Brown-St-02453/unit-1/home/12334604,MLS PIN,72362616,N,Y,42.3636502,-71.2318648
PAST SALE,March-3-2017,Single Family Residential,278 Melrose St,Newton,MA,02466,580000,3,2.0,Newton,1343,5970,1870,599,432,,Sold,,,http://www.redfin.com/MA/Auburndale/278-Melrose-St-02466/home/11436164,MLS PIN,72107320,N,Y,42.3470492,-71.2484656
PAST SALE,,Single Family Residential,63 Hanson Rd,Newton,MA,02459,760000,3,2.0,,1652,10144,1948,,460,,,,,http://www.redfin.com/MA/Newton/63-Hanson-Rd-02459/home/11491651,,,N,Y,42.29329,-71.1862309
PAST SALE,,Townhouse,941 Lagrange St,Boston,MA,02132,699900,3,2.5,,2485,2485,2000,,282,,,,,http://www.redfin.com/MA/Boston/941-Lagrange-St-02132/home/9309099,,,N,Y,42.2976674,-71.1720085
PAST SALE,,Townhouse,58 Prospect St,Newton,MA,02465,880000,3,2.5,,2083,,2012,,422,,,,,http://www.redfin.com/MA/Newton/58-Prospect-St-02465/home/76480599,,,N,Y,42.3456452,-71.233169
PAST SALE,October-27-2017,Single Family Residential,84 Atwood Ave,Newton,MA,02460,955000,4,3.0,Newtonville,2478,12730,1950,361,385,,Sold,,,http://www.redfin.com/MA/Newtonville/84-Atwood-Ave-02460/home/11420247,MLS PIN,72222965,N,Y,42.3457275,-71.202243
